Dataset,Variable,Tratamiento
Plazas.xlsx,Fecha Origen,Moda
Plazas.xlsx,Nombre,Moda
Plazas.xlsx,Telefono,Mediana
Plazas.xlsx,Producto,Moda
Plazas.xlsx,Asesor,Moda
Plazas.xlsx,Origen,Moda
Plazas.xlsx,Seguimiento,Mediana
Plazas.xlsx,Cita efetiva,Mediana
Plazas.xlsx,PDM,Mediana
Plazas.xlsx,SDC,Mediana
Plazas.xlsx,Estatus,Moda
Plazas.xlsx,¿Por que no hay seguimiento?,Moda
Plazas.xlsx,¿Por que no ha visitado la agencia?,Moda
Plazas.xlsx,¿Por que no hubo prueba de manejo ?,Moda
Plazas.xlsx,¿Por que no hubo solicitud de credito?,Moda
Plazas.xlsx,¿Por que no se ha formalizado la compra?,Moda
Plazas.xlsx,Unnamed: 16,Moda
Plazas.xlsx,Unnamed: 17,Mediana
Plazas.xlsx,Unnamed: 18,Mediana
Plazas.xlsx,Unnamed: 19,Moda
Principales_Canales.xlsx,Unnamed: 0,Moda
Principales_Canales.xlsx,Unnamed: 1,Moda
Principales_Canales.xlsx,Unnamed: 2,Moda
Principales_Canales.xlsx,Unnamed: 3,Moda
Principales_Canales.xlsx,Unnamed: 4,Moda
Principales_Canales.xlsx,Unnamed: 5,Moda
Principales_Canales.xlsx,Unnamed: 6,Moda
Principales_Canales.xlsx,Unnamed: 7,Moda
Principales_Canales.xlsx,Unnamed: 8,Moda
Principales_Canales.xlsx,Unnamed: 9,Moda
Principales_Canales.xlsx,Unnamed: 10,Moda
Principales_Canales.xlsx,Unnamed: 11,Moda
Principales_Canales.xlsx,Unnamed: 12,Moda
Principales_Canales.xlsx,Unnamed: 13,Moda
Principales_Canales.xlsx,Unnamed: 14,Moda
Principales_Canales.xlsx,Unnamed: 15,Moda
Principales_Canales.xlsx,Unnamed: 16,Moda
Principales_Canales.xlsx,Unnamed: 17,Moda
Principales_Canales.xlsx,Unnamed: 18,Moda
Principales_Canales.xlsx,Unnamed: 19,Moda
Principales_Canales.xlsx,Unnamed: 20,Moda
Principales_Canales.xlsx,Unnamed: 21,Moda
Principales_Canales.xlsx,Unnamed: 22,Moda
Principales_Canales.xlsx,Unnamed: 23,Moda
Principales_Canales.xlsx,Unnamed: 24,Moda
Principales_Canales.xlsx,Unnamed: 25,Moda
Principales_Canales.xlsx,Unnamed: 26,Moda
Principales_Canales.xlsx,Unnamed: 27,Moda
Principales_Canales.xlsx,Unnamed: 28,Moda
Principales_Canales.xlsx,Unnamed: 29,Moda
Principales_Canales.xlsx,Unnamed: 30,Moda
Principales_Canales.xlsx,Unnamed: 31,Mediana
Principales_Canales.xlsx,Unnamed: 32,Moda
Principales_Canales.xlsx,Unnamed: 33,Moda
Principales_Canales.xlsx,Unnamed: 34,Moda
